freq_hz,diff_nette_dB
1271.484,-0.0706
1272.949,-0.0795
1274.414,-0.0635
1275.879,-0.0829
1277.344,-0.0513
1278.809,-0.0678
1280.273,-0.0716
1281.738,-0.0558
1283.203,-0.0587
1284.668,-0.0881
1286.133,-0.1007
1287.598,-0.0880
1289.062,-0.0745
1290.527,-0.0937
1291.992,-0.1034
1293.457,-0.0759
1294.922,-0.0673
1296.387,-0.0784
1297.852,-0.0858
1299.316,-0.0739
1300.781,-0.0909
1302.246,-0.0740
1303.711,-0.0711
1305.176,-0.0780
1306.641,-0.0793
1308.105,-0.0681
1309.570,-0.0755
1311.035,-0.0786
1312.500,-0.0848
1313.965,-0.0806
1315.430,-0.0757
1316.895,-0.0814
1318.359,-0.0959
1319.824,-0.0926
1321.289,-0.0814
1322.754,-0.0822
1324.219,-0.0915
1325.684,-0.0909
1327.148,-0.0696
1328.613,-0.0508
1330.078,-0.0513
1331.543,-0.0662
1333.008,-0.0770
1334.473,-0.0823
1335.938,-0.0882
1337.402,-0.0910
1338.867,-0.0868
1340.332,-0.0837
1341.797,-0.0820
1343.262,-0.0889
1344.727,-0.0823
1346.191,-0.0694
1347.656,-0.0922
1349.121,-0.0928
1350.586,-0.0809
1352.051,-0.0874
1353.516,-0.0714
1354.980,-0.0848
1356.445,-0.0756
1357.910,-0.0695
1359.375,-0.0676
1360.840,-0.0838
1362.305,-0.0645
1363.770,-0.0618
1365.234,-0.0681
1366.699,-0.0683
1368.164,-0.0991
1369.629,-0.0927
1371.094,-0.0922
1372.559,-0.0831
1374.023,-0.0768
1375.488,-0.0708
1376.953,-0.0864
1378.418,-0.0856
1379.883,-0.0948
1381.348,-0.0716
1382.812,-0.0621
1384.277,-0.0747
1385.742,-0.0859
1387.207,-0.0999
1388.672,-0.0841
1390.137,-0.1115
1391.602,-0.0691
1393.066,-0.0742
1394.531,-0.0668
1395.996,-0.0550
1397.461,-0.0756
1398.926,-0.0848
1400.391,-0.0972
1401.855,-0.0958
1403.320,-0.0793
1404.785,-0.0727
1406.250,-0.0513
1407.715,-0.0616
1409.180,-0.0900
1410.645,-0.1038
1412.109,-0.0698
1413.574,-0.0571
1415.039,-0.0769
1416.504,-0.0697
1417.969,-0.0607
1419.434,-0.0705
1420.898,-0.0783
1422.363,-0.0767
1423.828,-0.0768
1425.293,-0.0720
1426.758,-0.0625
1428.223,-0.0567
1429.688,-0.0637
1431.152,-0.0797
1432.617,-0.0874
1434.082,-0.0721
1435.547,-0.0681
1437.012,-0.0727
1438.477,-0.0606
1439.941,-0.0543
1441.406,-0.0747
1442.871,-0.0869
1444.336,-0.0857
1445.801,-0.0902
1447.266,-0.0795
1448.730,-0.0763
1450.195,-0.0856
1451.660,-0.0846
1453.125,-0.0814
1454.590,-0.0812
1456.055,-0.0875
1457.520,-0.0871
1458.984,-0.0770
1460.449,-0.0769
1461.914,-0.0770
1463.379,-0.0898
1464.844,-0.0882
1466.309,-0.0866
1467.773,-0.0852
1469.238,-0.0825
1470.703,-0.0803
1472.168,-0.0715
1473.633,-0.0852
1475.098,-0.1013
1476.562,-0.0744
1478.027,-0.0671
1479.492,-0.0765
1480.957,-0.0857
1482.422,-0.0723
1483.887,-0.0724
1485.352,-0.0807
1486.816,-0.0665
1488.281,-0.0801
1489.746,-0.0695
1491.211,-0.0846
1492.676,-0.0718
1494.141,-0.0745
1495.605,-0.0814
1497.070,-0.0875
1498.535,-0.0894
1500.000,-0.0252
1501.465,-0.0600
1502.930,-0.0801
1504.395,-0.0962
1505.859,-0.0918
1507.324,-0.0823
1508.789,-0.0850
1510.254,-0.0753
1511.719,-0.0690
1513.184,-0.0722
1514.648,-0.0750
1516.113,-0.0736
1517.578,-0.0732
1519.043,-0.0693
1520.508,-0.0896
1521.973,-0.0823
1523.438,-0.0783
1524.902,-0.0801
1526.367,-0.0658
1527.832,-0.0659
1529.297,-0.0834
1530.762,-0.0791
1532.227,-0.0927
1533.691,-0.1038
1535.156,-0.0798
1536.621,-0.0684
1538.086,-0.0615
1539.551,-0.0847
1541.016,-0.0975
1542.480,-0.0996
1543.945,-0.0872
1545.410,-0.0630
1546.875,-0.0627
1548.340,-0.0708
1549.805,-0.0776
1551.270,-0.0763
1552.734,-0.0667
1554.199,-0.0696
1555.664,-0.0829
1557.129,-0.0652
1558.594,-0.0524
1560.059,-0.0917
1561.523,-0.1030
1562.988,-0.0868
1564.453,-0.0775
1565.918,-0.0749
1567.383,-0.0861
1568.848,-0.0857
1570.312,-0.0870
1571.777,-0.0904
1573.242,-0.0800
1574.707,-0.0788
1576.172,-0.0763
1577.637,-0.0802
1579.102,-0.0823
1580.566,-0.0825
1582.031,-0.0842
1583.496,-0.0756
1584.961,-0.0594
1586.426,-0.0671
1587.891,-0.0631
1589.355,-0.0877
1590.820,-0.1009
1592.285,-0.0699
1593.750,-0.0709
1595.215,-0.0761
1596.680,-0.0565
1598.145,-0.0704
1599.609,-0.0692
1601.074,-0.0809
1602.539,-0.0938
1604.004,-0.0795
1605.469,-0.0883
1606.934,-0.0912
1608.398,-0.0871
1609.863,-0.0886
1611.328,-0.0818
1612.793,-0.0790
1614.258,-0.0772
1615.723,-0.0777
1617.188,-0.0800
1618.652,-0.0973
1620.117,-0.0880
1621.582,-0.0980
1623.047,-0.0888
1624.512,-0.0904
1625.977,-0.0650
1627.441,-0.0757
1628.906,-0.0844
1630.371,-0.0569
1631.836,-0.0624
1633.301,-0.1038
1634.766,-0.0587
1636.230,-0.0713
1637.695,-0.0856
1639.160,-0.0821
