freq_hz,gain_dB,coherence
877.441,-54.5950,0.9999
878.906,-54.6001,0.9999
880.371,-54.5996,0.9999
881.836,-54.6009,0.9999
883.301,-54.6059,0.9999
884.766,-54.6136,0.9999
886.230,-54.6217,0.9999
887.695,-54.6315,0.9999
889.160,-54.6292,0.9999
890.625,-54.6200,0.9999
892.090,-54.6227,0.9999
893.555,-54.6266,0.9999
895.020,-54.6291,0.9999
896.484,-54.6431,0.9999
897.949,-54.6519,0.9999
899.414,-54.6499,0.9997
900.879,-54.6400,0.9997
902.344,-54.6507,0.9998
903.809,-54.6422,0.9998
905.273,-54.6255,0.9998
906.738,-54.6381,0.9998
908.203,-54.6257,0.9997
909.668,-54.6348,0.9997
911.133,-54.6227,0.9998
912.598,-54.6339,0.9997
914.062,-54.6205,0.9997
915.527,-54.6198,0.9997
916.992,-54.6124,0.9997
918.457,-54.6000,0.9997
919.922,-54.5853,0.9997
921.387,-54.5942,0.9997
922.852,-54.6025,0.9997
924.316,-54.5854,0.9997
925.781,-54.5806,0.9998
927.246,-54.5961,0.9998
928.711,-54.5890,0.9998
930.176,-54.5651,0.9998
931.641,-54.5707,0.9998
933.105,-54.5831,0.9998
934.570,-54.5829,0.9998
936.035,-54.5773,0.9998
937.500,-54.5878,0.9999
938.965,-54.5867,0.9998
940.430,-54.5677,0.9999
941.895,-54.5736,0.9999
943.359,-54.5868,0.9999
944.824,-54.5929,0.9999
946.289,-54.5928,0.9999
947.754,-54.5841,0.9999
949.219,-54.5827,0.9999
950.684,-54.5915,0.9999
952.148,-54.6014,0.9999
953.613,-54.6080,0.9999
955.078,-54.6092,0.9999
956.543,-54.6107,0.9999
958.008,-54.6142,0.9998
959.473,-54.6277,0.9995
960.938,-54.6357,0.9998
962.402,-54.6258,0.9999
963.867,-54.6129,0.9999
965.332,-54.6174,0.9999
966.797,-54.6276,0.9999
968.262,-54.6262,0.9999
969.727,-54.6255,0.9999
971.191,-54.6314,0.9999
972.656,-54.6411,0.9999
974.121,-54.6355,0.9999
975.586,-54.6442,0.9999
977.051,-54.6419,0.9998
978.516,-54.6394,0.9998
979.980,-54.6381,0.9998
981.445,-54.6176,0.9998
982.910,-54.6255,0.9998
984.375,-54.6439,0.9998
985.840,-54.6348,0.9998
987.305,-54.6381,0.9998
988.770,-54.6158,0.9997
990.234,-54.6262,0.9997
991.699,-54.6197,0.9997
993.164,-54.6223,0.9997
994.629,-54.6147,0.9997
996.094,-54.6105,0.9997
997.559,-54.5983,0.9997
999.023,-54.5958,0.9996
1000.488,-54.5991,0.9997
1001.953,-54.5921,0.9997
1003.418,-54.5770,0.9998
1004.883,-54.5695,0.9998
1006.348,-54.5761,0.9998
1007.812,-54.5810,0.9998
1009.277,-54.5713,0.9998
1010.742,-54.5757,0.9998
1012.207,-54.5775,0.9998
1013.672,-54.5745,0.9998
1015.137,-54.5631,0.9999
1016.602,-54.5714,0.9998
1018.066,-54.5747,0.9998
1019.531,-54.5703,0.9997
1020.996,-54.5842,0.9998
1022.461,-54.5856,0.9999
1023.926,-54.5849,0.9999
1025.391,-54.5868,0.9999
1026.855,-54.5865,0.9999
1028.320,-54.5840,0.9999
1029.785,-54.5788,0.9999
1031.250,-54.5879,0.9999
1032.715,-54.6010,0.9999
1034.180,-54.6032,0.9999
1035.645,-54.6027,0.9999
1037.109,-54.6067,0.9999
1038.574,-54.6067,0.9999
1040.039,-54.6088,0.9999
1041.504,-54.6076,0.9999
1042.969,-54.6036,0.9999
1044.434,-54.6108,0.9999
1045.898,-54.6249,0.9999
1047.363,-54.6295,0.9999
1048.828,-54.6183,0.9999
1050.293,-54.6140,0.9999
1051.758,-54.6181,0.9999
1053.223,-54.6296,0.9999
1054.688,-54.6360,0.9999
1056.152,-54.6283,0.9999
1057.617,-54.6428,0.9999
1059.082,-54.6519,0.9998
1060.547,-54.6313,0.9999
1062.012,-54.6351,0.9998
1063.477,-54.6439,0.9998
1064.941,-54.6513,0.9998
1066.406,-54.6529,0.9998
1067.871,-54.6412,0.9998
1069.336,-54.6413,0.9998
1070.801,-54.6313,0.9997
1072.266,-54.6423,0.9997
1073.730,-54.6412,0.9997
1075.195,-54.6286,0.9997
1076.660,-54.6186,0.9997
1078.125,-54.6150,0.9994
1079.590,-54.6195,0.9991
1081.055,-54.6034,0.9995
1082.520,-54.6010,0.9997
1083.984,-54.5905,0.9997
1085.449,-54.5805,0.9997
1086.914,-54.5740,0.9997
1088.379,-54.5822,0.9997
1089.844,-54.5959,0.9998
1091.309,-54.5677,0.9998
1092.773,-54.5705,0.9998
1094.238,-54.5689,0.9998
1095.703,-54.5606,0.9998
1097.168,-54.5694,0.9998
1098.633,-54.5667,0.9998
1100.098,-54.5698,0.9998
1101.562,-54.5753,0.9998
1103.027,-54.5694,0.9998
1104.492,-54.5817,0.9999
1105.957,-54.5816,0.9999
1107.422,-54.5756,0.9998
1108.887,-54.5771,0.9999
1110.352,-54.5807,0.9999
1111.816,-54.5811,0.9999
1113.281,-54.5772,0.9999
1114.746,-54.5752,0.9999
1116.211,-54.5784,0.9999
1117.676,-54.5903,0.9999
1119.141,-54.5916,0.9999
1120.605,-54.5921,0.9999
1122.070,-54.5942,0.9999
1123.535,-54.5962,0.9999
1125.000,-54.5951,0.9999
1126.465,-54.5889,0.9999
1127.930,-54.5857,0.9999
1129.395,-54.6000,0.9999
1130.859,-54.6140,0.9999
1132.324,-54.6151,0.9999
1133.789,-54.6226,0.9999
1135.254,-54.6252,0.9999
1136.719,-54.6295,0.9999
1138.184,-54.6252,0.9998
1139.648,-54.6264,0.9997
1141.113,-54.6327,0.9998
1142.578,-54.6393,0.9999
1144.043,-54.6426,0.9999
1145.508,-54.6436,0.9999
1146.973,-54.6518,0.9998
1148.438,-54.6647,0.9999
1149.902,-54.6519,0.9998
1151.367,-54.6342,0.9998
1152.832,-54.6389,0.9998
1154.297,-54.6474,0.9998
1155.762,-54.6405,0.9998
1157.227,-54.6225,0.9998
1158.691,-54.6348,0.9998
1160.156,-54.6438,0.9998
1161.621,-54.6452,0.9997
1163.086,-54.6259,0.9997
1164.551,-54.6275,0.9998
1166.016,-54.6471,0.9997
1167.480,-54.6376,0.9997
1168.945,-54.6250,0.9997
1170.410,-54.6091,0.9997
1171.875,-54.6195,0.9997
1173.340,-54.6134,0.9997
1174.805,-54.5948,0.9997
1176.270,-54.5941,0.9996
1177.734,-54.5791,0.9997
1179.199,-54.5740,0.9996
1180.664,-54.5802,0.9996
1182.129,-54.5826,0.9997
1183.594,-54.5725,0.9997
1185.059,-54.5837,0.9997
1186.523,-54.5704,0.9997
1187.988,-54.5730,0.9998
1189.453,-54.5707,0.9998
1190.918,-54.5669,0.9998
1192.383,-54.5779,0.9998
1193.848,-54.5678,0.9998
1195.312,-54.5691,0.9998
1196.777,-54.5736,0.9998
1198.242,-54.5765,0.9998
1199.707,-54.5715,0.9995
1201.172,-54.5614,0.9997
1202.637,-54.5684,0.9999
1204.102,-54.5824,0.9999
1205.566,-54.5929,0.9998
1207.031,-54.5902,0.9999
1208.496,-54.5830,0.9999
1209.961,-54.5780,0.9999
1211.426,-54.5814,0.9999
1212.891,-54.5916,0.9999
1214.355,-54.5946,0.9999
1215.820,-54.5948,0.9999
1217.285,-54.6042,0.9999
1218.750,-54.6146,0.9999
1220.215,-54.6135,0.9999
1221.680,-54.6061,0.9999
1223.145,-54.6041,0.9999
1224.609,-54.6138,0.9999
1226.074,-54.6184,0.9999
1227.539,-54.6128,0.9999
1229.004,-54.6161,0.9999
1230.469,-54.6171,0.9999
1231.934,-54.6103,0.9999
1233.398,-54.6183,0.9999
1234.863,-54.6256,0.9999
1236.328,-54.6237,0.9999
1237.793,-54.6328,0.9999
1239.258,-54.6369,0.9999
1240.723,-54.6315,0.9999
1242.188,-54.6343,0.9998
1243.652,-54.6498,0.9999
1245.117,-54.6425,0.9999
1246.582,-54.6324,0.9999
1248.047,-54.6385,0.9999
1249.512,-54.6375,0.9998
