freq_hz,gain_dB,coherence
716.309,-54.6946,0.9997
717.773,-54.6993,0.9995
719.238,-54.6995,0.9982
720.703,-54.6708,0.9990
722.168,-54.6617,0.9997
723.633,-54.6742,0.9997
725.098,-54.6551,0.9998
726.562,-54.6559,0.9998
728.027,-54.6428,0.9998
729.492,-54.6420,0.9998
730.957,-54.6446,0.9999
732.422,-54.6511,0.9999
733.887,-54.6581,0.9999
735.352,-54.6585,0.9999
736.816,-54.6586,0.9999
738.281,-54.6613,0.9999
739.746,-54.6498,0.9999
741.211,-54.6567,0.9999
742.676,-54.6677,0.9999
744.141,-54.6746,0.9999
745.605,-54.6828,0.9999
747.070,-54.6860,0.9999
748.535,-54.6903,0.9999
750.000,-54.6970,0.9999
751.465,-54.6985,0.9999
752.930,-54.6953,0.9999
754.395,-54.7013,0.9999
755.859,-54.7156,0.9999
757.324,-54.7159,0.9999
758.789,-54.7200,0.9999
760.254,-54.7161,0.9999
761.719,-54.7228,0.9999
763.184,-54.7153,0.9999
764.648,-54.7074,0.9998
766.113,-54.7121,0.9998
767.578,-54.7277,0.9998
769.043,-54.7306,0.9998
770.508,-54.7183,0.9998
771.973,-54.7275,0.9998
773.438,-54.7195,0.9997
774.902,-54.7034,0.9997
776.367,-54.6892,0.9997
777.832,-54.6915,0.9997
779.297,-54.6912,0.9995
780.762,-54.6802,0.9995
782.227,-54.6567,0.9997
783.691,-54.6658,0.9997
785.156,-54.6542,0.9998
786.621,-54.6692,0.9998
788.086,-54.6665,0.9998
789.551,-54.6600,0.9998
791.016,-54.6588,0.9998
792.480,-54.6501,0.9999
793.945,-54.6467,0.9999
795.410,-54.6562,0.9999
796.875,-54.6604,0.9999
798.340,-54.6512,0.9999
799.805,-54.6513,0.9999
801.270,-54.6568,0.9999
802.734,-54.6647,0.9999
804.199,-54.6681,0.9999
805.664,-54.6744,0.9999
807.129,-54.6816,0.9999
808.594,-54.6807,0.9999
810.059,-54.6768,0.9999
811.523,-54.6763,0.9999
812.988,-54.6809,0.9999
814.453,-54.6856,0.9999
815.918,-54.6876,0.9999
817.383,-54.6940,0.9999
818.848,-54.6982,0.9999
820.312,-54.6951,0.9999
821.777,-54.6956,0.9999
823.242,-54.6991,0.9999
824.707,-54.7019,0.9999
826.172,-54.7054,0.9999
827.637,-54.7177,0.9999
829.102,-54.7251,0.9999
830.566,-54.7271,0.9999
832.031,-54.7155,0.9999
833.496,-54.7039,0.9998
834.961,-54.7089,0.9998
836.426,-54.7159,0.9998
837.891,-54.7190,0.9997
839.355,-54.7242,0.9992
840.820,-54.6965,0.9995
842.285,-54.6967,0.9997
843.750,-54.6857,0.9997
845.215,-54.6800,0.9997
846.680,-54.6857,0.9998
848.145,-54.6651,0.9997
849.609,-54.6606,0.9997
851.074,-54.6626,0.9997
852.539,-54.6580,0.9998
854.004,-54.6532,0.9998
855.469,-54.6656,0.9998
856.934,-54.6535,0.9998
858.398,-54.6485,0.9998
859.863,-54.6525,0.9998
861.328,-54.6483,0.9998
862.793,-54.6461,0.9998
864.258,-54.6495,0.9999
865.723,-54.6640,0.9999
867.188,-54.6622,0.9999
868.652,-54.6553,0.9999
870.117,-54.6547,0.9999
871.582,-54.6599,0.9999
873.047,-54.6700,0.9999
874.512,-54.6759,0.9999
875.977,-54.6793,0.9999
877.441,-54.6759,0.9999
878.906,-54.6724,0.9999
880.371,-54.6833,0.9999
881.836,-54.6916,0.9999
883.301,-54.6866,0.9999
884.766,-54.6846,0.9999
886.230,-54.6906,0.9999
887.695,-54.6954,0.9999
889.160,-54.6989,0.9999
890.625,-54.7004,0.9999
892.090,-54.7072,0.9999
893.555,-54.7139,0.9999
895.020,-54.7072,0.9999
896.484,-54.7090,0.9999
897.949,-54.7118,0.9999
899.414,-54.7031,0.9997
900.879,-54.7184,0.9998
902.344,-54.7246,0.9998
903.809,-54.7163,0.9998
905.273,-54.7077,0.9998
906.738,-54.7081,0.9998
908.203,-54.7042,0.9998
909.668,-54.7039,0.9998
911.133,-54.6985,0.9997
912.598,-54.6904,0.9997
914.062,-54.6782,0.9998
915.527,-54.6803,0.9997
916.992,-54.7036,0.9997
918.457,-54.6648,0.9997
919.922,-54.6742,0.9997
921.387,-54.6795,0.9997
922.852,-54.6770,0.9997
924.316,-54.6571,0.9998
925.781,-54.6751,0.9998
927.246,-54.6583,0.9998
928.711,-54.6662,0.9998
930.176,-54.6507,0.9998
931.641,-54.6431,0.9998
933.105,-54.6402,0.9999
934.570,-54.6410,0.9999
936.035,-54.6440,0.9999
937.500,-54.6476,0.9999
938.965,-54.6493,0.9998
940.430,-54.6399,0.9999
941.895,-54.6440,0.9999
943.359,-54.6536,0.9999
944.824,-54.6691,0.9999
946.289,-54.6656,0.9999
947.754,-54.6513,0.9999
949.219,-54.6614,0.9999
950.684,-54.6706,0.9999
952.148,-54.6721,0.9999
953.613,-54.6803,0.9999
955.078,-54.6899,0.9999
956.543,-54.6956,0.9999
958.008,-54.6962,0.9998
959.473,-54.6962,0.9996
960.938,-54.6987,0.9998
962.402,-54.7022,0.9999
963.867,-54.6998,0.9999
965.332,-54.6994,0.9999
966.797,-54.7033,0.9999
968.262,-54.7105,0.9999
969.727,-54.7081,0.9999
971.191,-54.6991,0.9999
972.656,-54.6977,0.9999
974.121,-54.7093,0.9999
975.586,-54.7077,0.9999
977.051,-54.7128,0.9999
978.516,-54.7175,0.9998
979.980,-54.7052,0.9998
981.445,-54.7105,0.9998
982.910,-54.7233,0.9998
984.375,-54.7185,0.9998
985.840,-54.6960,0.9998
987.305,-54.6955,0.9998
988.770,-54.7071,0.9997
990.234,-54.7105,0.9997
991.699,-54.7025,0.9997
993.164,-54.6974,0.9997
994.629,-54.6882,0.9997
996.094,-54.6775,0.9998
997.559,-54.6907,0.9997
999.023,-54.6731,0.9997
1000.488,-54.6731,0.9997
1001.953,-54.6821,0.9997
1003.418,-54.6509,0.9997
1004.883,-54.6485,0.9997
1006.348,-54.6476,0.9998
1007.812,-54.6397,0.9998
1009.277,-54.6368,0.9998
1010.742,-54.6431,0.9998
1012.207,-54.6547,0.9998
1013.672,-54.6574,0.9998
1015.137,-54.6515,0.9999
1016.602,-54.6446,0.9999
1018.066,-54.6415,0.9998
1019.531,-54.6436,0.9996
1020.996,-54.6623,0.9997
1022.461,-54.6599,0.9999
1023.926,-54.6499,0.9999
1025.391,-54.6631,0.9999
1026.855,-54.6722,0.9999
1028.320,-54.6774,0.9999
1029.785,-54.6784,0.9999
1031.250,-54.6771,0.9999
1032.715,-54.6771,0.9999
1034.180,-54.6786,0.9999
1035.645,-54.6795,0.9999
1037.109,-54.6800,0.9999
1038.574,-54.6822,0.9999
1040.039,-54.6868,0.9999
1041.504,-54.6831,0.9999
1042.969,-54.6861,0.9999
1044.434,-54.6978,0.9999
1045.898,-54.6987,0.9999
1047.363,-54.6997,0.9999
1048.828,-54.7059,0.9999
1050.293,-54.7104,0.9999
1051.758,-54.7100,0.9999
1053.223,-54.7057,0.9999
1054.688,-54.7038,0.9999
1056.152,-54.7098,0.9999
1057.617,-54.7190,0.9998
1059.082,-54.7236,0.9998
1060.547,-54.7220,0.9998
1062.012,-54.7121,0.9998
1063.477,-54.7136,0.9998
1064.941,-54.7078,0.9998
1066.406,-54.7139,0.9998
1067.871,-54.7143,0.9998
1069.336,-54.7157,0.9997
1070.801,-54.7154,0.9997
1072.266,-54.7076,0.9997
1073.730,-54.6986,0.9997
1075.195,-54.7045,0.9997
1076.660,-54.7101,0.9997
1078.125,-54.6898,0.9994
1079.590,-54.7126,0.9992
1081.055,-54.6875,0.9995
1082.520,-54.6648,0.9997
1083.984,-54.6721,0.9997
1085.449,-54.6756,0.9997
1086.914,-54.6699,0.9997
1088.379,-54.6406,0.9998
1089.844,-54.6473,0.9997
1091.309,-54.6575,0.9998
1092.773,-54.6573,0.9998
1094.238,-54.6373,0.9998
1095.703,-54.6554,0.9998
1097.168,-54.6528,0.9998
1098.633,-54.6467,0.9998
1100.098,-54.6531,0.9998
1101.562,-54.6481,0.9999
1103.027,-54.6513,0.9998
1104.492,-54.6403,0.9999
1105.957,-54.6406,0.9999
1107.422,-54.6563,0.9999
1108.887,-54.6639,0.9999
1110.352,-54.6544,0.9999
1111.816,-54.6475,0.9999
1113.281,-54.6560,0.9999
1114.746,-54.6630,0.9999
1116.211,-54.6647,0.9999
1117.676,-54.6679,0.9999
1119.141,-54.6745,0.9999
1120.605,-54.6815,0.9999
1122.070,-54.6821,0.9999
1123.535,-54.6802,0.9999
1125.000,-54.6800,0.9999
1126.465,-54.6839,0.9999
1127.930,-54.6870,0.9999
1129.395,-54.6830,0.9999
1130.859,-54.6851,0.9999
1132.324,-54.6989,0.9999
1133.789,-54.7063,0.9999
1135.254,-54.7019,0.9999
1136.719,-54.6978,0.9999
1138.184,-54.7031,0.9999
1139.648,-54.7105,0.9997
1141.113,-54.7017,0.9998
1142.578,-54.7007,0.9999
1144.043,-54.7099,0.9999
1145.508,-54.7116,0.9999
1146.973,-54.7045,0.9998
1148.438,-54.7120,0.9998
1149.902,-54.7182,0.9998
1151.367,-54.7271,0.9998
1152.832,-54.7217,0.9998
1154.297,-54.7244,0.9998
1155.762,-54.7185,0.9998
1157.227,-54.7156,0.9998
1158.691,-54.7152,0.9998
1160.156,-54.7084,0.9998
1161.621,-54.7101,0.9998
1163.086,-54.7166,0.9997
1164.551,-54.7101,0.9997
1166.016,-54.7114,0.9997
1167.480,-54.6911,0.9997
1168.945,-54.6710,0.9997
1170.410,-54.6950,0.9996
1171.875,-54.6834,0.9997
1173.340,-54.6762,0.9997
1174.805,-54.6603,0.9997
1176.270,-54.6734,0.9997
1177.734,-54.6714,0.9997
1179.199,-54.6643,0.9997
1180.664,-54.6610,0.9997
1182.129,-54.6443,0.9997
1183.594,-54.6584,0.9997
1185.059,-54.6588,0.9998
1186.523,-54.6438,0.9998
1187.988,-54.6479,0.9998
1189.453,-54.6510,0.9998
1190.918,-54.6341,0.9998
1192.383,-54.6431,0.9998
1193.848,-54.6478,0.9998
1195.312,-54.6532,0.9998
1196.777,-54.6486,0.9999
1198.242,-54.6524,0.9997
1199.707,-54.6705,0.9996
1201.172,-54.6540,0.9998
1202.637,-54.6418,0.9999
1204.102,-54.6542,0.9999
1205.566,-54.6597,0.9999
1207.031,-54.6571,0.9999
1208.496,-54.6598,0.9999
1209.961,-54.6630,0.9999
1211.426,-54.6697,0.9999
1212.891,-54.6711,0.9999
1214.355,-54.6729,0.9999
1215.820,-54.6867,0.9999
1217.285,-54.6908,0.9999
1218.750,-54.6860,0.9999
1220.215,-54.6805,0.9999
1221.680,-54.6828,0.9999
1223.145,-54.6889,0.9999
1224.609,-54.6851,0.9999
1226.074,-54.6829,0.9999
1227.539,-54.6860,0.9999
1229.004,-54.6801,0.9999
1230.469,-54.6781,0.9999
1231.934,-54.6856,0.9999
1233.398,-54.6889,0.9999
1234.863,-54.6942,0.9999
1236.328,-54.6991,0.9999
1237.793,-54.7071,0.9999
1239.258,-54.7168,0.9999
1240.723,-54.7166,0.9998
1242.188,-54.7228,0.9999
1243.652,-54.7041,0.9999
1245.117,-54.7030,0.9998
1246.582,-54.7070,0.9999
1248.047,-54.7220,0.9998
1249.512,-54.7184,0.9998
1250.977,-54.7054,0.9998
1252.441,-54.7282,0.9998
1253.906,-54.7119,0.9998
1255.371,-54.7020,0.9998
1256.836,-54.7182,0.9998
1258.301,-54.7263,0.9997
1259.766,-54.7411,0.9995
1261.230,-54.7263,0.9996
1262.695,-54.7027,0.9997
1264.160,-54.7030,0.9997
1265.625,-54.7142,0.9997
1267.090,-54.6914,0.9997
1268.555,-54.6930,0.9997
1270.020,-54.6893,0.9996
1271.484,-54.6826,0.9997
1272.949,-54.6796,0.9997
1274.414,-54.6641,0.9997
1275.879,-54.6767,0.9997
1277.344,-54.6441,0.9997
1278.809,-54.6597,0.9997
1280.273,-54.6640,0.9997
1281.738,-54.6455,0.9997
1283.203,-54.6544,0.9997
1284.668,-54.6584,0.9998
1286.133,-54.6561,0.9997
1287.598,-54.6470,0.9997
1289.062,-54.6467,0.9998
1290.527,-54.6600,0.9998
1291.992,-54.6633,0.9998
1293.457,-54.6544,0.9998
1294.922,-54.6446,0.9998
1296.387,-54.6510,0.9998
1297.852,-54.6626,0.9998
1299.316,-54.6590,0.9999
1300.781,-54.6620,0.9999
1302.246,-54.6605,0.9999
1303.711,-54.6599,0.9999
1305.176,-54.6586,0.9999
1306.641,-54.6673,0.9999
1308.105,-54.6638,0.9999
1309.570,-54.6607,0.9999
1311.035,-54.6653,0.9999
1312.500,-54.6703,0.9999
1313.965,-54.6706,0.9999
1315.430,-54.6662,0.9999
1316.895,-54.6681,0.9999
1318.359,-54.6806,0.9996
1319.824,-54.6837,0.9996
1321.289,-54.6745,0.9998
1322.754,-54.6740,0.9999
1324.219,-54.6893,0.9999
1325.684,-54.6945,0.9999
1327.148,-54.6790,0.9999
1328.613,-54.6710,0.9999
1330.078,-54.6787,0.9999
1331.543,-54.6895,0.9999
1333.008,-54.6949,0.9999
1334.473,-54.6978,0.9999
1335.938,-54.7038,0.9999
1337.402,-54.7074,0.9999
1338.867,-54.7035,0.9999
1340.332,-54.7077,0.9999
1341.797,-54.7098,0.9999
1343.262,-54.7042,0.9999
1344.727,-54.7038,0.9999
1346.191,-54.7014,0.9998
1347.656,-54.7059,0.9999
1349.121,-54.7128,0.9999
1350.586,-54.7129,0.9998
1352.051,-54.7129,0.9998
1353.516,-54.7121,0.9998
