freq_hz,diff_nette_dB
1060.547,-0.0705
1062.012,-0.0703
1063.477,-0.0703
1064.941,-0.0704
1066.406,-0.0704
1067.871,-0.0706
1069.336,-0.0707
1070.801,-0.0708
1072.266,-0.0711
1073.730,-0.0714
1075.195,-0.0718
1076.660,-0.0723
1078.125,-0.0725
1079.590,-0.0732
1081.055,-0.0735
1082.520,-0.0738
1083.984,-0.0744
1085.449,-0.0748
1086.914,-0.0752
1088.379,-0.0755
1089.844,-0.0757
1091.309,-0.0760
1092.773,-0.0762
1094.238,-0.0762
1095.703,-0.0763
1097.168,-0.0765
1098.633,-0.0765
1100.098,-0.0765
1101.562,-0.0764
1103.027,-0.0763
1104.492,-0.0762
1105.957,-0.0761
1107.422,-0.0758
1108.887,-0.0757
1110.352,-0.0756
1111.816,-0.0754
1113.281,-0.0752
1114.746,-0.0751
1116.211,-0.0749
1117.676,-0.0747
1119.141,-0.0745
1120.605,-0.0742
1122.070,-0.0741
1123.535,-0.0739
1125.000,-0.0737
1126.465,-0.0736
1127.930,-0.0733
1129.395,-0.0731
1130.859,-0.0728
1132.324,-0.0726
1133.789,-0.0724
1135.254,-0.0721
1136.719,-0.0720
1138.184,-0.0718
1139.648,-0.0716
1141.113,-0.0714
1142.578,-0.0712
1144.043,-0.0710
1145.508,-0.0709
1146.973,-0.0708
1148.438,-0.0707
1149.902,-0.0706
1151.367,-0.0705
1152.832,-0.0705
1154.297,-0.0704
1155.762,-0.0704
1157.227,-0.0706
1158.691,-0.0706
1160.156,-0.0707
1161.621,-0.0708
1163.086,-0.0711
1164.551,-0.0713
1166.016,-0.0716
1167.480,-0.0719
1168.945,-0.0723
1170.410,-0.0727
1171.875,-0.0731
1173.340,-0.0736
1174.805,-0.0739
1176.270,-0.0743
1177.734,-0.0747
1179.199,-0.0749
1180.664,-0.0753
1182.129,-0.0756
1183.594,-0.0758
1185.059,-0.0760
1186.523,-0.0761
1187.988,-0.0763
1189.453,-0.0763
1190.918,-0.0764
1192.383,-0.0764
1193.848,-0.0764
1195.312,-0.0764
1196.777,-0.0763
1198.242,-0.0763
1199.707,-0.0761
1201.172,-0.0759
1202.637,-0.0758
1204.102,-0.0756
1205.566,-0.0755
1207.031,-0.0753
1208.496,-0.0751
1209.961,-0.0750
1211.426,-0.0747
1212.891,-0.0745
1214.355,-0.0742
1215.820,-0.0740
1217.285,-0.0740
1218.750,-0.0737
1220.215,-0.0735
1221.680,-0.0733
1223.145,-0.0731
1224.609,-0.0729
1226.074,-0.0727
1227.539,-0.0725
1229.004,-0.0723
1230.469,-0.0721
1231.934,-0.0719
1233.398,-0.0718
1234.863,-0.0716
1236.328,-0.0714
1237.793,-0.0712
1239.258,-0.0711
1240.723,-0.0709
1242.188,-0.0708
1243.652,-0.0705
1245.117,-0.0704
1246.582,-0.0703
1248.047,-0.0702
1249.512,-0.0702
1250.977,-0.0702
1252.441,-0.0702
1253.906,-0.0702
1255.371,-0.0701
1256.836,-0.0703
1258.301,-0.0703
1259.766,-0.0706
1261.230,-0.0708
1262.695,-0.0710
1264.160,-0.0711
1265.625,-0.0714
1267.090,-0.0717
1268.555,-0.0721
1270.020,-0.0724
1271.484,-0.0727
1272.949,-0.0732
1274.414,-0.0736
1275.879,-0.0740
1277.344,-0.0742
1278.809,-0.0747
1280.273,-0.0749
1281.738,-0.0752
1283.203,-0.0755
1284.668,-0.0756
1286.133,-0.0759
1287.598,-0.0760
1289.062,-0.0761
1290.527,-0.0761
1291.992,-0.0763
1293.457,-0.0763
1294.922,-0.0762
1296.387,-0.0762
1297.852,-0.0762
1299.316,-0.0760
1300.781,-0.0760
1302.246,-0.0760
1303.711,-0.0758
1305.176,-0.0756
1306.641,-0.0754
1308.105,-0.0753
1309.570,-0.0751
1311.035,-0.0750
1312.500,-0.0749
1313.965,-0.0747
1315.430,-0.0745
1316.895,-0.0744
1318.359,-0.0741
1319.824,-0.0739
1321.289,-0.0737
1322.754,-0.0735
1324.219,-0.0734
1325.684,-0.0732
1327.148,-0.0730
1328.613,-0.0728
1330.078,-0.0726
1331.543,-0.0724
1333.008,-0.0723
1334.473,-0.0722
1335.938,-0.0719
1337.402,-0.0718
1338.867,-0.0717
1340.332,-0.0714
1341.797,-0.0713
1343.262,-0.0711
1344.727,-0.0710
1346.191,-0.0709
1347.656,-0.0708
1349.121,-0.0706
1350.586,-0.0704
1352.051,-0.0704
1353.516,-0.0703
1354.980,-0.0702
1356.445,-0.0703
1357.910,-0.0702
1359.375,-0.0702
1360.840,-0.0702
1362.305,-0.0702
1363.770,-0.0703
1365.234,-0.0705
1366.699,-0.0706
1368.164,-0.0706
1369.629,-0.0709
