freq_hz,gain_dB,coherence
704.590,-10.7697,1.0000
706.055,-10.7704,1.0000
707.520,-10.7707,1.0000
708.984,-10.7698,0.9999
710.449,-10.7677,0.9999
711.914,-10.7646,0.9999
713.379,-10.7603,0.9999
714.844,-10.7551,0.9999
716.309,-10.7494,0.9999
717.773,-10.7429,0.9999
719.238,-10.7360,0.9999
720.703,-10.7298,0.9999
722.168,-10.7243,0.9999
723.633,-10.7192,0.9999
725.098,-10.7154,0.9999
726.562,-10.7126,0.9999
728.027,-10.7108,0.9999
729.492,-10.7103,1.0000
730.957,-10.7109,1.0000
732.422,-10.7117,1.0000
733.887,-10.7130,1.0000
735.352,-10.7148,1.0000
736.816,-10.7169,1.0000
738.281,-10.7196,1.0000
739.746,-10.7223,1.0000
741.211,-10.7252,1.0000
742.676,-10.7282,1.0000
744.141,-10.7310,1.0000
745.605,-10.7339,1.0000
747.070,-10.7366,1.0000
748.535,-10.7396,1.0000
750.000,-10.7425,1.0000
751.465,-10.7457,1.0000
752.930,-10.7488,1.0000
754.395,-10.7521,1.0000
755.859,-10.7553,1.0000
757.324,-10.7584,1.0000
758.789,-10.7614,1.0000
760.254,-10.7639,1.0000
761.719,-10.7665,1.0000
763.184,-10.7684,1.0000
764.648,-10.7701,1.0000
766.113,-10.7713,1.0000
767.578,-10.7718,1.0000
769.043,-10.7716,0.9999
770.508,-10.7702,0.9999
771.973,-10.7674,0.9999
773.438,-10.7639,0.9999
774.902,-10.7595,0.9999
776.367,-10.7539,0.9999
777.832,-10.7476,0.9999
779.297,-10.7414,0.9999
780.762,-10.7351,0.9999
782.227,-10.7288,0.9999
783.691,-10.7230,0.9999
785.156,-10.7184,0.9999
786.621,-10.7148,0.9999
788.086,-10.7116,0.9999
789.551,-10.7094,0.9999
791.016,-10.7085,1.0000
792.480,-10.7082,1.0000
793.945,-10.7086,1.0000
795.410,-10.7096,1.0000
796.875,-10.7105,1.0000
798.340,-10.7121,1.0000
799.805,-10.7139,1.0000
801.270,-10.7160,1.0000
802.734,-10.7185,1.0000
804.199,-10.7212,1.0000
805.664,-10.7241,1.0000
807.129,-10.7270,1.0000
808.594,-10.7303,1.0000
810.059,-10.7334,1.0000
811.523,-10.7367,1.0000
812.988,-10.7399,1.0000
814.453,-10.7433,1.0000
815.918,-10.7465,1.0000
817.383,-10.7499,1.0000
818.848,-10.7531,1.0000
820.312,-10.7564,1.0000
821.777,-10.7594,1.0000
823.242,-10.7622,1.0000
824.707,-10.7649,1.0000
826.172,-10.7670,1.0000
827.637,-10.7689,1.0000
829.102,-10.7703,1.0000
830.566,-10.7712,1.0000
832.031,-10.7720,1.0000
833.496,-10.7718,1.0000
834.961,-10.7708,0.9999
836.426,-10.7689,0.9999
837.891,-10.7661,0.9999
839.355,-10.7626,0.9999
840.820,-10.7586,0.9999
842.285,-10.7536,0.9999
843.750,-10.7475,0.9999
845.215,-10.7415,0.9999
846.680,-10.7358,0.9999
848.145,-10.7299,0.9999
849.609,-10.7240,0.9999
851.074,-10.7191,0.9999
852.539,-10.7149,0.9999
854.004,-10.7112,0.9999
855.469,-10.7084,0.9999
856.934,-10.7065,0.9999
858.398,-10.7052,1.0000
859.863,-10.7049,1.0000
861.328,-10.7055,1.0000
862.793,-10.7064,1.0000
864.258,-10.7079,1.0000
865.723,-10.7096,1.0000
867.188,-10.7117,1.0000
868.652,-10.7141,1.0000
870.117,-10.7166,1.0000
871.582,-10.7194,1.0000
873.047,-10.7224,1.0000
874.512,-10.7254,1.0000
875.977,-10.7285,1.0000
877.441,-10.7316,1.0000
878.906,-10.7347,1.0000
880.371,-10.7377,1.0000
881.836,-10.7408,1.0000
883.301,-10.7436,1.0000
884.766,-10.7465,1.0000
886.230,-10.7492,1.0000
887.695,-10.7520,1.0000
889.160,-10.7547,1.0000
890.625,-10.7574,1.0000
892.090,-10.7599,1.0000
893.555,-10.7622,1.0000
895.020,-10.7642,1.0000
896.484,-10.7660,1.0000
897.949,-10.7677,1.0000
899.414,-10.7689,1.0000
900.879,-10.7699,1.0000
902.344,-10.7704,1.0000
903.809,-10.7704,1.0000
905.273,-10.7698,0.9999
906.738,-10.7684,0.9999
908.203,-10.7663,0.9999
909.668,-10.7639,0.9999
911.133,-10.7605,0.9999
912.598,-10.7560,0.9999
914.062,-10.7511,0.9999
915.527,-10.7459,0.9999
916.992,-10.7403,0.9999
918.457,-10.7345,0.9999
919.922,-10.7289,0.9999
921.387,-10.7238,0.9999
922.852,-10.7192,0.9999
924.316,-10.7149,0.9999
925.781,-10.7116,0.9999
927.246,-10.7093,0.9999
928.711,-10.7075,0.9999
930.176,-10.7062,0.9999
931.641,-10.7056,1.0000
933.105,-10.7057,1.0000
934.570,-10.7062,1.0000
936.035,-10.7075,1.0000
937.500,-10.7089,1.0000
938.965,-10.7105,1.0000
940.430,-10.7125,1.0000
941.895,-10.7144,1.0000
943.359,-10.7167,1.0000
944.824,-10.7190,1.0000
946.289,-10.7213,1.0000
947.754,-10.7239,1.0000
949.219,-10.7264,1.0000
950.684,-10.7291,1.0000
952.148,-10.7316,1.0000
953.613,-10.7343,1.0000
955.078,-10.7368,1.0000
956.543,-10.7395,1.0000
958.008,-10.7420,1.0000
959.473,-10.7447,1.0000
960.938,-10.7470,1.0000
962.402,-10.7496,1.0000
963.867,-10.7519,1.0000
965.332,-10.7544,1.0000
966.797,-10.7566,1.0000
968.262,-10.7588,1.0000
969.727,-10.7608,1.0000
971.191,-10.7627,1.0000
972.656,-10.7645,1.0000
974.121,-10.7658,1.0000
975.586,-10.7671,1.0000
977.051,-10.7681,1.0000
978.516,-10.7685,1.0000
979.980,-10.7687,1.0000
981.445,-10.7684,1.0000
982.910,-10.7675,0.9999
984.375,-10.7663,0.9999
985.840,-10.7645,0.9999
987.305,-10.7620,0.9999
988.770,-10.7590,0.9999
990.234,-10.7554,0.9999
991.699,-10.7511,0.9999
993.164,-10.7467,0.9999
994.629,-10.7421,0.9999
996.094,-10.7370,0.9999
997.559,-10.7319,0.9999
999.023,-10.7274,0.9999
1000.488,-10.7231,0.9999
1001.953,-10.7190,0.9999
1003.418,-10.7155,0.9999
1004.883,-10.7126,0.9999
1006.348,-10.7103,0.9999
1007.812,-10.7086,0.9999
1009.277,-10.7075,0.9999
1010.742,-10.7067,1.0000
1012.207,-10.7064,1.0000
1013.672,-10.7068,1.0000
1015.137,-10.7074,1.0000
1016.602,-10.7084,1.0000
1018.066,-10.7097,1.0000
